adm_0_name,adm_1_name,adm_2_name,full_name,ISO_A0,FAO_GAUL_code,RNE_iso_code,IBGE_code,calendar_start_date,calendar_end_date,Year,dengue_total,case_definition_standardised,S_res,T_res,UUID,week_number,year,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2003-05-25,2003-05-31,2003,188,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02,21,2003,30.214285714285715,27.042857142857144,33.57142857142857,0.0,,141.0,8.128571428571428,,1010.3,
SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2003-06-01,2003-06-07,2003,256,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02,22,2003,29.97142857142857,26.585714285714285,33.42857142857143,3.342857142857143,,179.0,7.45,,1009.2166666666667,
SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2003-06-08,2003-06-14,2003,163,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02,23,2003,29.97142857142857,27.25714285714286,33.7,1.5285714285714285,,138.6,11.1,,1009.4666666666667,
SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2003-06-15,2003-06-21,2003,163,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02,24,2003,29.228571428571428,26.557142857142857,32.471428571428575,1.2285714285714284,,153.0,8.742857142857144,,1009.5714285714286,
SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2003-06-22,2003-06-28,2003,130,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02,25,2003,28.8,24.914285714285715,32.357142857142854,3.485714285714286,,,7.985714285714286,,1009.0571428571428,
SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2003-06-29,2003-07-05,2003,143,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02,26,2003,27.957142857142856,25.12857142857143,31.785714285714285,1.0999999999999999,,,4.871428571428572,,1009.8285714285714,
SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2003-07-06,2003-07-12,2003,126,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02,27,2003,27.814285714285713,24.442857142857143,31.385714285714283,7.1571428571428575,,156.0,6.228571428571428,,1010.0,
SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2003-07-13,2003-07-19,2003,76,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02,28,2003,27.571428571428573,23.728571428571428,30.928571428571427,9.242857142857144,,,7.271428571428571,,1009.7571428571429,
SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2003-07-20,2003-07-26,2003,74,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02,29,2003,28.12857142857143,24.842857142857145,31.583333333333332,6.7,,176.33333333333334,8.25,,1009.65,
SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2003-07-27,2003-08-02,2003,59,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02,30,2003,28.957142857142856,26.114285714285717,31.728571428571428,0.07142857142857142,,153.83333333333334,12.4,,1010.0571428571428,
