"adm_0_name","adm_1_name","adm_2_name","full_name","ISO_A0","FAO_GAUL_code","RNE_iso_code","IBGE_code","calendar_start_date","calendar_end_date","Year","dengue_total","case_definition_standardised","S_res","T_res","UUID"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2002-05-19","2002-05-25",2002,79,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-02"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2002-05-26","2002-06-01",2002,56,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-02"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2002-06-02","2002-06-08",2002,50,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-02"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2002-06-09","2002-06-15",2002,58,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-02"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2002-06-16","2002-06-22",2002,62,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-02"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2002-06-23","2002-06-29",2002,53,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-02"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2002-06-30","2002-07-06",2002,91,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-02"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2002-07-07","2002-07-13",2002,104,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-02"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2002-07-14","2002-07-20",2002,114,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-02"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2002-07-21","2002-07-27",2002,115,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-02"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2002-07-28","2002-08-03",2002,136,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-02"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2002-08-04","2002-08-10",2002,83,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-02"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2002-08-11","2002-08-17",2002,153,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-02"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2002-08-18","2002-08-24",2002,145,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-02"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2002-08-25","2002-08-31",2002,154,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-02"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2002-09-01","2002-09-07",2002,144,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-02"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2002-09-08","2002-09-14",2002,159,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-02"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2002-09-15","2002-09-21",2002,137,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-02"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2002-09-22","2002-09-28",2002,128,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-02"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2002-09-29","2002-10-05",2002,123,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-02"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2002-10-06","2002-10-12",2002,139,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-02"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2002-10-13","2002-10-19",2002,119,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-02"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2002-10-20","2002-10-26",2002,109,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-02"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2002-10-27","2002-11-02",2002,101,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-02"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2002-11-03","2002-11-09",2002,94,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-02"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2002-11-10","2002-11-16",2002,98,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-02"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2002-11-17","2002-11-23",2002,95,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-02"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2002-11-24","2002-11-30",2002,95,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-02"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2002-12-01","2002-12-07",2002,71,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-02"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2002-12-08","2002-12-14",2002,86,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-02"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2002-12-15","2002-12-21",2002,113,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-02"
