,adm_0_name,adm_1_name,adm_2_name,full_name,ISO_A0,FAO_GAUL_code,RNE_iso_code,IBGE_code,calendar_start_date,calendar_end_date,Year,dengue_total,case_definition_standardised,S_res,T_res,UUID
38,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2002-09-15,2002-09-21,2002,137,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
39,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2002-09-22,2002-09-28,2002,128,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
40,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2002-09-29,2002-10-05,2002,123,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
41,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2002-10-06,2002-10-12,2002,139,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
42,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2002-10-13,2002-10-19,2002,119,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
43,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2002-10-20,2002-10-26,2002,109,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
44,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2002-10-27,2002-11-02,2002,101,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
45,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2002-11-03,2002-11-09,2002,94,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
46,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2002-11-10,2002-11-16,2002,98,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
47,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2002-11-17,2002-11-23,2002,95,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
48,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2002-11-24,2002-11-30,2002,95,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
49,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2002-12-01,2002-12-07,2002,71,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
50,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2002-12-08,2002-12-14,2002,86,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
51,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2002-12-15,2002-12-21,2002,113,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
52,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2002-12-22,2002-12-28,2002,63,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
53,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2002-12-29,2003-01-04,2002,67,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
55,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2003-01-05,2003-01-11,2003,103,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
56,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2003-01-12,2003-01-18,2003,95,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
57,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2003-01-19,2003-01-25,2003,84,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
58,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2003-01-26,2003-02-01,2003,89,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
59,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2003-02-02,2003-02-08,2003,62,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
