dengue_total,Year,week_number,tavg,tmin,tmax,prcp,wdir,wspd,pres,tavg_lag1,tavg_lag2,prcp_lag1,prcp_lag2
84,2003,3,26.883333333333336,24.400000000000002,30.133333333333336,17.266666666666666,182.0,11.84,,26.400000000000002,26.95,9.542857142857143,7.3375
89,2003,4,27.214285714285715,24.457142857142856,31.285714285714285,1.8285714285714287,13.0,8.985714285714286,,26.883333333333336,26.400000000000002,17.266666666666666,9.542857142857143
62,2003,5,26.37142857142857,24.285714285714285,29.071428571428573,31.957142857142856,86.0,9.985714285714286,,27.214285714285715,26.883333333333336,1.8285714285714287,17.266666666666666
88,2003,6,26.428571428571427,23.599999999999998,29.914285714285715,4.514285714285714,235.83333333333334,10.942857142857141,,26.37142857142857,27.214285714285715,31.957142857142856,1.8285714285714287
88,2003,7,27.342857142857145,25.314285714285713,30.685714285714287,6.171428571428571,19.8,9.357142857142858,,26.428571428571427,26.37142857142857,4.514285714285714,31.957142857142856
99,2003,8,27.25714285714286,23.95,31.057142857142857,12.228571428571428,15.666666666666666,9.033333333333333,,27.342857142857145,26.428571428571427,6.171428571428571,4.514285714285714
60,2003,9,27.87142857142857,24.771428571428572,32.22857142857143,3.2714285714285714,9.8,9.171428571428573,,27.25714285714286,27.342857142857145,12.228571428571428,6.171428571428571
92,2003,10,27.97142857142857,24.414285714285715,32.528571428571425,11.185714285714285,,5.471428571428571,,27.87142857142857,27.25714285714286,3.2714285714285714,12.228571428571428
85,2003,11,28.099999999999998,25.042857142857144,31.885714285714283,5.8428571428571425,37.5,9.442857142857141,,27.97142857142857,27.87142857142857,11.185714285714285,3.2714285714285714
64,2003,12,28.571428571428573,25.842857142857145,32.516666666666666,1.8857142857142857,41.0,6.9,,28.099999999999998,27.97142857142857,5.8428571428571425,11.185714285714285
97,2003,13,27.82857142857143,25.52857142857143,31.542857142857144,3.3000000000000003,66.0,3.9285714285714284,,28.571428571428573,28.099999999999998,1.8857142857142857,5.8428571428571425
63,2003,14,27.642857142857142,24.599999999999998,32.75714285714286,9.628571428571428,,3.3285714285714287,,27.82857142857143,28.571428571428573,3.3000000000000003,1.8857142857142857
53,2003,15,27.728571428571428,25.12857142857143,31.87142857142857,4.857142857142857,,3.5142857142857147,,27.642857142857142,27.82857142857143,9.628571428571428,3.3000000000000003
75,2003,16,27.62857142857143,25.071428571428573,31.3,2.9285714285714284,,2.857142857142857,,27.728571428571428,27.642857142857142,4.857142857142857,9.628571428571428
36,2003,17,28.485714285714288,25.87142857142857,32.44285714285714,0.37142857142857144,,3.0,,27.62857142857143,27.728571428571428,2.9285714285714284,4.857142857142857
80,2003,18,28.485714285714288,25.67142857142857,31.928571428571427,6.285714285714286,,2.942857142857143,,28.485714285714288,27.62857142857143,0.37142857142857144,2.9285714285714284
95,2003,19,28.3,26.2,32.128571428571426,6.2,,3.316666666666667,,28.485714285714288,28.485714285714288,6.285714285714286,0.37142857142857144
125,2003,20,28.971428571428568,25.728571428571428,32.06666666666667,1.2,,3.1,1009.6500000000001,28.3,28.485714285714288,6.2,6.285714285714286
188,2003,21,30.214285714285715,27.042857142857144,33.57142857142857,0.0,141.0,8.128571428571428,1010.3,28.971428571428568,28.3,1.2,6.2
256,2003,22,29.97142857142857,26.585714285714285,33.42857142857143,3.342857142857143,179.0,7.45,1009.2166666666667,30.214285714285715,28.971428571428568,0.0,1.2
163,2003,23,29.97142857142857,27.25714285714286,33.7,1.5285714285714285,138.6,11.1,1009.4666666666667,29.97142857142857,30.214285714285715,3.342857142857143,0.0
163,2003,24,29.228571428571428,26.557142857142857,32.471428571428575,1.2285714285714284,153.0,8.742857142857144,1009.5714285714286,29.97142857142857,29.97142857142857,1.5285714285714285,3.342857142857143
130,2003,25,28.8,24.914285714285715,32.357142857142854,3.485714285714286,,7.985714285714286,1009.0571428571428,29.228571428571428,29.97142857142857,1.2285714285714284,1.5285714285714285
143,2003,26,27.957142857142856,25.12857142857143,31.785714285714285,1.0999999999999999,,4.871428571428572,1009.8285714285714,28.8,29.228571428571428,3.485714285714286,1.2285714285714284
126,2003,27,27.814285714285713,24.442857142857143,31.385714285714283,7.1571428571428575,156.0,6.228571428571428,1010.0,27.957142857142856,28.8,1.0999999999999999,3.485714285714286
76,2003,28,27.571428571428573,23.728571428571428,30.928571428571427,9.242857142857144,,7.271428571428571,1009.7571428571429,27.814285714285713,27.957142857142856,7.1571428571428575,1.0999999999999999
74,2003,29,28.12857142857143,24.842857142857145,31.583333333333332,6.7,176.33333333333334,8.25,1009.65,27.571428571428573,27.814285714285713,9.242857142857144,7.1571428571428575
59,2003,30,28.957142857142856,26.114285714285717,31.728571428571428,0.07142857142857142,153.83333333333334,12.4,1010.0571428571428,28.12857142857143,27.571428571428573,6.7,9.242857142857144
61,2003,31,28.914285714285715,25.771428571428572,32.385714285714286,4.357142857142857,151.0,9.842857142857143,1010.6,28.957142857142856,28.12857142857143,0.07142857142857142,6.7
60,2003,32,28.67142857142857,25.642857142857142,31.7,10.700000000000001,149.75,10.614285714285714,1009.1714285714286,28.914285714285715,28.957142857142856,4.357142857142857,0.07142857142857142
81,2003,33,27.714285714285715,25.414285714285715,31.285714285714285,7.6,161.66666666666666,8.700000000000001,1009.8166666666666,28.67142857142857,28.914285714285715,10.700000000000001,4.357142857142857
91,2003,34,29.12857142857143,25.82857142857143,32.6,0.4714285714285714,167.25,9.128571428571428,1009.657142857143,27.714285714285715,28.67142857142857,7.6,10.700000000000001
